0.01	0.01	0.81
0.02	0.01	0.90
0.03	0.01	0.97
0.04	0.01	1.03
0.05	0.01	1.08
0.06	0.01	1.11
0.07	0.01	1.10
0.08	0.02	1.08
0.09	0.02	1.10
0.10	0.02	1.12
0.11	0.02	1.14
0.12	0.02	1.16
0.13	0.02	1.16
0.14	0.02	1.14
0.15	0.02	1.13
0.16	0.02	1.16
0.17	0.02	1.17
0.18	0.02	1.17
0.19	0.02	1.17
0.20	0.03	1.16
0.21	0.03	1.17
0.22	0.03	1.16
0.23	0.03	1.18
0.24	0.03	1.23
0.25	0.03	1.32
0.26	0.03	1.37
0.27	0.03	1.36
0.28	0.03	1.36
0.29	0.03	1.34
0.30	0.03	1.29
0.31	0.03	1.29
0.32	0.04	1.34
0.33	0.04	1.40
0.34	0.04	1.43
0.35	0.04	1.45
0.36	0.04	1.50
0.37	0.04	1.51
0.38	0.04	1.53
0.39	0.04	1.59
0.40	0.04	1.63
0.41	0.04	1.67
0.42	0.04	1.70
0.43	0.04	1.72
0.44	0.05	1.76
0.45	0.05	1.78
0.46	0.05	1.78
0.47	0.05	1.79
0.48	0.05	1.84
0.49	0.05	1.88
0.50	0.05	1.93
0.51	0.05	1.96
0.52	0.05	2.00
0.53	0.05	2.03
0.54	0.05	2.08
0.55	0.05	2.13
0.56	0.06	2.14
0.57	0.06	2.19
0.58	0.06	2.23
0.59	0.06	2.26
0.60	0.06	2.29
0.61	0.06	2.32
0.62	0.06	2.38
0.63	0.06	2.45
0.64	0.06	2.54
0.65	0.06	2.65
0.66	0.06	2.73
0.67	0.06	2.80
0.68	0.07	2.84
0.69	0.07	2.92
0.70	0.07	2.99
0.71	0.07	3.05
0.72	0.07	3.15
0.73	0.07	3.23
0.74	0.07	3.30
0.75	0.07	3.38
0.76	0.07	3.44
0.77	0.07	3.50
0.78	0.07	3.55
0.79	0.07	3.61
0.80	0.08	3.66
0.81	0.08	3.74
0.82	0.08	3.81
0.83	0.08	3.87
0.84	0.08	3.89
0.85	0.08	3.92
